Hiking trails,,,,,,,,,,
Trailhead,Restroom,Park Fee,Bikes,Dogs,Location,,,,,
Bobolink,No,No,Yes,Mixed (V&S and prohibited),"40.000235125376086, -105.21451812328385",,,,,
Boulder Falls,No,No,No,Leash,"40.00536252781466, -105.40614997299188",,,,,
Boulder Valley Ranch,Yes,No,Yes,Voice and Sight,"40.08000101506319, -105.26279258989399",,,,,
Buckingham Park,Yes,No,No,Leash,"40.11123918476268, -105.30816306035054",,,,,
Centennial Park,Yes,No,No,Voice and Sight,"40.02021082644039, -105.29791738733917",,,,,
Chapman Drive,No,No,Yes,Leash,"40.00892966872375, -105.32530989661622",,,,,
Chautauqua Meadow,Yes,No,No,Voice and sight,"39.996092683577075, -105.28621496035497",,,,,
Cherryvale,No,No,Yes,Mixed (V&S and prohibited),"39.982896208535216, -105.21448851617642",,,,,
Cottonwood,No,No,Yes,Mixed (V&S and prohibited),"40.04011567225499, -105.23697976035331",,,,,
Crown Rock,No,Yes,No,Voice and Sight,"40.00193869459783, -105.29696481617573",,,,,
Doudy Draw,Yes,Yes,Yes,Mixed (all 3),"39.938175172561856, -105.25657851802885",,,,,
Dry Creek,Yes,No,Yes,Voice and Sight,"39.99984942368107, -105.19103308734",,,,,
Eagle,No,No,Yes,Voice and Sight,"40.080432661119104, -105.23590469288878",,,,,
Enchated Mesa,No,No,No,Mixed (V&S and prohibited),"39.9973533848808, -105.2802256045339",,,,,
Flagstaff Summit,Yes,Yes,No,Mixed (all 3),"40.00151660957012, -105.29933651656641",,,,,
Flatirons Vista,Yes,Yes,Yes, Mixed (all 3),"39.92275296002896, -105.2458540180294",,,,,
Foothills,No,No,Mixed,Mixed (V&S and prohibited),"40.07054703353091, -105.28264288521758",,,,,
Four-Mile Creek,No,No,Mixed,Leash,"40.06480074853652, -105.28776978718837",,,,,
Greenbelt Plateau,No,Yes,Yes,Mixed(V&S and leash),"39.928889489304744, -105.23309144501434",,,,,
Gregory Canyon,Yes,Yes,No ,Mixed(all 3),"39.99776783181083, -105.29276024686237",,,,,
Interim Joder,No,No,Yes,Leash,"40.110304139666866, -105.28275206035056",,,,,
Left Hand,No,No,Yes,Leash,"40.10534764978167, -105.26581401802234",,,,,
Marshall Mesa,Yes,Yes,Yes,Voice and Sight,"39.95317284085238, -105.23134761802824",,,,,
Mount Sanitas,Yes,No,No,Voice and Sight,"40.02738749605658, -105.30068277384632",,,,,
NCAR,Yes,No,No,Mixed (V&s and Leash,"39.97794040800962, -105.27980990083337",,,,,
Panorama Point,Yes,Yes,No,Voice and Sight,"40.00602810273934, -105.2926315709399",,,,,
Realization Point,No,Yes,No,Voice and Sight,"39.99729796723958, -105.30895702813932",,,,,
Sawhill Ponds,Yes,No,No,Mixed(V&S and leash),"40.03972125925047, -105.18518548733846",,,,,
Settlers Park,No,No,No,Voice and Sight,"40.01491550594419, -105.29607604316037",,,,,
South Boulder Creek,No,Yes,No,Mixed(all 3),"39.960391364776136, -105.23674440638608",,,,,
South Mesa,Yes,Yes,No,Mixed (all 3),"39.93945559206923, -105.25638844501395",,,,,
Teller Farms-South,Yes,No,Mixed,Mixed (V&S and leash),"40.02170418352434, -105.15861596644396",,,,,
White Rocks,No,No,Mixed,No,"40.0621269374584, -105.13174653151658",,,,,
Wonderland Lake,No,No,Mixed,Leash,"40.05093576785052, -105.2825005008306",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Parks and rec centers,,,,,,,,,,
Park/Facility,Picnic Shelter,Playground,Restroom,Sports Field,Tennis,Basketball,Volleyball,RTD,Bike Trail,Location
Admiral Areligh A Burke Park,x,,,,,,,,,"39.995039789336325, -105.23655675793312"
Andrews Aboratoreum,,,,,,,,x,x,"40.012671862512036, -105.27730166035434"
Ann Armstrong Park,,,,,,,,,,"40.02566711292958, -105.27503177199578"
Arapahoe Ridge Park,x,x,,x,x,,,x,,"40.00933316763496, -105.23246451802609"
Arrowwood Park,,x,,,,,,x,x,"40.002961466214494, -105.25193664501147"
Aurora 7 Park,x,,,x,,,,x,x,"40.00551013226976, -105.24475681802618"
Barker Park,,x,,,,,,x,x,"40.01972152232641, -105.275992371996"
